DATE,KCFSI
2000-02-01,0.487088334848143
2000-03-01,1.10574687652913
2000-04-01,1.21448819849432
2000-05-01,1.29432406924723
2000-06-01,1.45724692160033
2000-07-01,0.860762800634098
2000-08-01,0.72735700130222
2000-09-01,0.93907056620811
2000-10-01,1.09995360975926
2000-11-01,1.25020639534065
2000-12-01,1.55063982722314
2001-01-01,1.4108181560307
2001-02-01,0.981246784818621
2001-03-01,1.15151131720382
2001-04-01,1.13079087034243
2001-05-01,0.714447428735393
2001-06-01,0.676894906349671
2001-07-01,0.583337141521212
2001-08-01,0.595472320880742
2001-09-01,1.07651722732391
2001-10-01,1.29448974092955
2001-11-01,0.636760039903363
2001-12-01,0.465925677887741
2002-01-01,0.437653667739806
2002-02-01,0.351163730908734
2002-03-01,0.276671906655756
2002-04-01,0.384687415016361
2002-05-01,0.171481272275522
2002-06-01,0.620465621915251
2002-07-01,1.07484615283871
2002-08-01,0.894236736828317
2002-09-01,1.30964978221722
2002-10-01,1.40190609723531
2002-11-01,0.802995039645384
2002-12-01,0.571835936688305
2003-01-01,0.4685828135248
2003-02-01,0.410228368411986
2003-03-01,0.404320722078302
2003-04-01,0.121175176203656
2003-05-01,-0.116178125383635
2003-06-01,-0.163675469565019
2003-07-01,-0.254142551667803
2003-08-01,-0.349022154604755
2003-09-01,-0.488253210455883
2003-10-01,-0.49025556220841
2003-11-01,-0.548114759638005
2003-12-01,-0.614544677602159
2004-01-01,-0.603460350006093
2004-02-01,-0.710039222191792
2004-03-01,-0.594277515522591
2004-04-01,-0.517292742002489
2004-05-01,-0.56149801011641
2004-06-01,-0.655877026386612
2004-07-01,-0.630699453547838
2004-08-01,-0.630342995219858
2004-09-01,-0.640485239958418
2004-10-01,-0.513543871294925
2004-11-01,-0.586907826212251
2004-12-01,-0.73319612572499
2005-01-01,-0.653262576585084
2005-02-01,-0.867959159672174
2005-03-01,-0.778189259783188
2005-04-01,-0.45711212171846
2005-05-01,-0.515482118039916
2005-06-01,-0.592053888365363
2005-07-01,-0.623051669037501
2005-08-01,-0.741226808861023
2005-09-01,-0.613939754446463
2005-10-01,-0.498222172247795
2005-11-01,-0.523594324907233
2005-12-01,-0.548383584215917
2006-01-01,-0.520651163201032
2006-02-01,-0.622035733982653
2006-03-01,-0.597725969533712
2006-04-01,-0.490759617915661
2006-05-01,-0.721362535126846
2006-06-01,-0.490964042026858
2006-07-01,-0.461300588013613
2006-08-01,-0.614488166667159
2006-09-01,-0.560384388516798
2006-10-01,-0.661296097969599
2006-11-01,-0.760559751385108
2006-12-01,-0.702146277158949
2007-01-01,-0.74246053108096
2007-02-01,-0.745983278205112
2007-03-01,-0.52135948263482
2007-04-01,-0.30868988158488
2007-05-01,-0.59225383231472
2007-06-01,-0.611917783661953
2007-07-01,-0.257538632808275
2007-08-01,0.649428291558521
2007-09-01,0.278618455902227
2007-10-01,0.271004694719109
2007-11-01,0.891753938241921
2007-12-01,0.948567191826706
2008-01-01,1.4167593742674
2008-02-01,1.16951508012939
2008-03-01,1.78890988573295
2008-04-01,1.49577110411764
2008-05-01,0.937562998843139
2008-06-01,1.55051827805986
2008-07-01,2.30522681012074
2008-08-01,1.6291024437151
2008-09-01,2.63338348142693
2008-10-01,5.43839409372718
2008-11-01,5.47326550205833
2008-12-01,5.31283982996476
2009-01-01,5.45613663022649
2009-02-01,4.57580548629153
2009-03-01,4.56000447838367
2009-04-01,4.41294336084751
2009-05-01,2.99633380242381
2009-06-01,1.7059103386174
2009-07-01,1.68228804955826
2009-08-01,1.20927181271323
2009-09-01,0.823509818385051
2009-10-01,0.773459285842595
2009-11-01,0.68623558537551
2009-12-01,0.497607739048203
2010-01-01,0.489808917766612
2010-02-01,0.30144303470427
2010-03-01,-0.0494081182199064
2010-04-01,-0.18573313385766
2010-05-01,0.511331554390896
2010-06-01,0.46859358597725
2010-07-01,0.401023835222839
2010-08-01,0.179266319872763
2010-09-01,0.111423987820523
2010-10-01,0.181300165376094
2010-11-01,-0.0252095831537365
2010-12-01,-0.129469400309258
2011-01-01,-0.255716666641108
2011-02-01,-0.458265565277273
2011-03-01,-0.334563062846684
2011-04-01,-0.397498039664693
2011-05-01,-0.438496922536267
2011-06-01,-0.216691992112662
2011-07-01,-0.1582096287465
2011-08-01,0.670246244535259
2011-09-01,0.750243337920764
2011-10-01,0.822269885216806
2011-11-01,0.516524899661653
2011-12-01,0.458675316565673
2012-01-01,0.379558245490504
2012-02-01,-0.00981168658550702
2012-03-01,-0.149584906072252
2012-04-01,-0.11484334538708
2012-05-01,0.093220115482986
2012-06-01,0.0976473233273947
2012-07-01,0.0165739695750823
2012-08-01,-0.286249999184545
2012-09-01,-0.426003679297395
2012-10-01,-0.284122746772572
2012-11-01,-0.414131740931566
2012-12-01,-0.429880217306694
2013-01-01,-0.443991052617382
2013-02-01,-0.558948876957653
2013-03-01,-0.563483545120674
2013-04-01,-0.456221197777637
2013-05-01,-0.591662472534947
2013-06-01,-0.393477421817162
2013-07-01,-0.532285239564923
2013-08-01,-0.714754470220856
2013-09-01,-0.66091036808292
2013-10-01,-0.63739651593733
2013-11-01,-0.80383575150059
2013-12-01,-0.920517325420943
2014-01-01,-0.81313473735926
2014-02-01,-0.761694265655703
2014-03-01,-0.784273515653743
2014-04-01,-0.819787140381611
2014-05-01,-0.965970474007072
2014-06-01,-1.04289457037085
2014-07-01,-0.910250407812736
2014-08-01,-0.839817752503593
2014-09-01,-0.827888727671324
2014-10-01,-0.428527442020287
2014-11-01,-0.709805895131704
2014-12-01,-0.51611028577024
2015-01-01,-0.229595334645492
2015-02-01,-0.411093239308291
2015-03-01,-0.457355328674665
2015-04-01,-0.572346333420253
2015-05-01,-0.739590001283012
2015-06-01,-0.628660605617012
2015-07-01,-0.471854137709589
2015-08-01,-0.296502494771998
2015-09-01,-0.0835886266546416
2015-10-01,-0.262198000137001
2015-11-01,-0.374424409418189
2015-12-01,-0.122886548145564
2016-01-01,0.225709545969493
2016-02-01,0.454337332561184
2016-03-01,-0.0676714262419925
2016-04-01,-0.126792468681752
2016-05-01,-0.269031253605602
2016-06-01,-0.163778433693709
2016-07-01,-0.287053517779777
2016-08-01,-0.356697643479667
2016-09-01,-0.360451201149119
2016-10-01,-0.473630170964107
2016-11-01,-0.219755052039953
2016-12-01,-0.62147967667991
2017-01-01,-0.571430373517274
2017-02-01,-0.670410454404222
2017-03-01,-0.649066952224842
2017-04-01,-0.557673897078664
2017-05-01,-0.738687183065876
2017-06-01,-0.620500381377564
2017-07-01,-0.736590406739928
2017-08-01,-0.772377132809754
2017-09-01,-0.737552805881985
2017-10-01,-0.780147551690337
2017-11-01,-0.770183341423181
2017-12-01,-0.757063860790338
2018-01-01,-0.823731040799591
2018-02-01,-0.564881897387416
2018-03-01,-0.623160952536441
2018-04-01,-0.383867871273746
2018-05-01,-0.59843527034041
2018-06-01,-0.598012568188758
2018-07-01,-0.451862061511665
2018-08-01,-0.731767885876032
2018-09-01,-0.748128532472762
2018-10-01,-0.349281966147466
2018-11-01,-0.36610801326494
2018-12-01,-0.084258729157842
2019-01-01,-0.0840264969911722
2019-02-01,-0.515202628178584
2019-03-01,-0.416041529584702
2019-04-01,-0.518005612237463
2019-05-01,-0.423822414980853
2019-06-01,-0.383835767091415
2019-07-01,-0.604298941900069
2019-08-01,-0.335558691503963
2019-09-01,-0.40310546129495
2019-10-01,-0.399389245586775
2019-11-01,-0.632434865785965
2019-12-01,-0.643061501280189
2020-01-01,-0.588179498343529
2020-02-01,-0.41124673968757
2020-03-01,2.13379496545505
2020-04-01,1.60257038657855
2020-05-01,0.883590208392609
2020-06-01,0.456799652691637
2020-07-01,0.235254168958827
2020-08-01,-0.0477512332805634
2020-09-01,0.077318968638953
2020-10-01,0.229777366625271
2020-11-01,0.228751372917538
2020-12-01,-0.418718794655163
2021-01-01,-0.256286472991581
2021-02-01,-0.457678108475874
2021-03-01,-0.328164299948554
2021-04-01,-0.762887669550796
