DATE,SPASTT01CNM657N
2000-02-01,9.92516151624873
2000-03-01,7.19464209716799
2000-04-01,5.50635350714059
2000-05-01,-0.359796731351223
2000-06-01,6.26015582338985
2000-07-01,2.45160646681223
2000-08-01,4.78968573567391
2000-09-01,-6.06682460899596
2000-10-01,-0.35763510502085
2000-11-01,6.24992243508333
2000-12-01,0.540509235037817
2001-01-01,0.691439538975773
2001-02-01,-5.46786025222595
2001-03-01,3.58033361795094
2001-04-01,4.82240630327024
2001-05-01,1.69072124387473
2001-06-01,1.97457237173916
2001-07-01,-3.41241740527098
2001-08-01,-10.727250875996
2001-09-01,-4.74937782506186
2001-10-01,-7.17365409087959
2001-11-01,-0.765380329269357
2001-12-01,0.61814925373135
2002-01-01,-11.1901119883419
2002-02-01,0.931544849177656
2002-03-01,7.81549529226108
2002-04-01,0.456908359851252
2002-05-01,-2.40402392106171
2002-06-01,-2.13547667952508
2002-07-01,8.50536128268937
2002-08-01,-2.07029667411492
2002-09-01,-2.57859692290647
2002-10-01,-4.86934817183868
2002-11-01,-4.8202791686539
2002-12-01,-4.34519331464609
2003-01-01,2.15292274642886
2003-02-01,4.87490314958595
2003-03-01,-1.21830089394028
2003-04-01,4.51875785244188
2003-05-01,-0.676270337793194
2003-06-01,0.0273493302012511
2003-07-01,-2.4036150994568
2003-08-01,-3.15234562676259
2003-09-01,-3.38048704738688
2003-10-01,-2.38397136076883
2003-11-01,-0.867221307534281
2003-12-01,8.12871668396097
2004-01-01,8.03001016740884
2004-02-01,5.76583230524453
2004-03-01,1.62202706689634
2004-04-01,-1.10434274134779
2004-05-01,-7.31387276052486
2004-06-01,-6.39337112395491
2004-07-01,-2.98483433466791
2004-08-01,-4.35827280762635
2004-09-01,0.646990794350298
2004-10-01,-0.72734949519445
2004-11-01,-1.13010730059032
2004-12-01,-2.99763029648086
2005-01-01,-5.01944602796944
2005-02-01,2.91930884621908
2005-03-01,-1.82297819034917
2005-04-01,-4.09883574517346
2005-05-01,-7.74225495238723
2005-06-01,-1.97217129499529
2005-07-01,-3.93529933918532
2005-08-01,10.5174729893109
2005-09-01,2.72089293977815
2005-10-01,-4.03024181619942
2005-11-01,-2.99547226775006
2005-12-01,2.18124537535127
2006-01-01,8.86410889769515
2006-02-01,4.51705894931695
2006-03-01,0.0874613256950234
2006-04-01,7.25146408714772
2006-05-01,14.1818107748502
2006-06-01,2.59140378217274
2006-07-01,4.77802177055956
2006-08-01,-4.74577195401099
2006-09-01,5.9185522389174
2006-10-01,4.74734965933005
2006-11-01,9.70222288276515
2006-12-01,17.9284165967976
2007-01-01,21.3947294153144
2007-02-01,2.04932068444011
2007-03-01,4.64906070797804
2007-04-01,18.2790478063083
2007-05-01,13.9567376359723
2007-06-01,-0.450284833067124
2007-07-01,0.08503147061578
2007-08-01,20.7341851832301
2007-09-01,10.546290601802
2007-10-01,7.55448592377008
2007-11-01,-8.66321898176383
2007-12-01,-3.54875644538287
2008-01-01,-0.461001258582869
2008-02-01,-11.2287562693917
2008-03-01,-12.7531772640834
2008-04-01,-13.1745444719317
2008-05-01,4.85583687329701
2008-06-01,-15.5120698245409
2008-07-01,-6.95562233327247
2008-08-01,-10.9093627762189
2008-09-01,-12.9953390224284
2008-10-01,-8.80699174557456
2008-11-01,-5.28788265080738
2008-12-01,3.99149260533629
2009-01-01,-0.632068546965081
2009-02-01,13.7529048548798
2009-03-01,1.0457678169614
2009-04-01,10.3977363249388
2009-05-01,6.18564579919438
2009-06-01,8.35704684728625
2009-07-01,13.40917249157
2009-08-01,-4.18738118810957
2009-09-01,-6.06370681792687
2009-10-01,1.9808889285796
2009-11-01,8.82903394638715
2009-12-01,0.431361688245656
2010-01-01,-1.58481381061794
2010-02-01,-5.50140337093011
2010-03-01,2.07125200388539
2010-04-01,0.0427893276612446
2010-05-01,-12.6330504276285
2010-06-01,-4.73533277840324
2010-07-01,-2.03902189495967
2010-08-01,5.72826553407207
2010-09-01,0.0651691172733235
2010-10-01,8.95704065602804
2010-11-01,3.46031632267152
2010-12-01,-4.29747847275795
2011-01-01,-2.71690910477281
2011-02-01,3.0769414146916
2011-03-01,3.08849975540936
2011-04-01,1.74503702726756
2011-05-01,-5.42278340103628
2011-06-01,-4.28650605618623
2011-07-01,2.36197020918526
2011-08-01,-6.52800246902987
2011-09-01,-5.03860943544477
2011-10-01,-2.87240416349328
2011-11-01,2.73478144498904
2011-12-01,-8.45530302012616
2012-01-01,0.550104853871595
2012-02-01,4.63348244196149
2012-03-01,0.756132321888377
2012-04-01,-1.62554459582245
2012-05-01,1.86548532339615
2012-06-01,-4.49525404217466
2012-07-01,-4.93896749009091
2012-08-01,-2.51354777073294
2012-09-01,-2.08797929142271
2012-10-01,1.30034243944993
2012-11-01,-2.59038103712518
2012-12-01,4.01024308479182
2013-01-01,8.51490330466526
2013-02-01,3.80802888302098
2013-03-01,-4.05043426160485
2013-04-01,-3.76619197354502
2013-05-01,2.29897332193633
2013-06-01,-5.65467462332172
2013-07-01,-5.5915131948778
2013-08-01,2.98800833710344
2013-09-01,5.40785421278732
2013-10-01,-0.0859116747469709
2013-11-01,-1.01277970484707
2013-12-01,0.0652646107620336
2014-01-01,-5.72123516036717
2014-02-01,1.97086987836382
2014-03-01,-2.07596385238039
2014-04-01,1.81898617764945
2014-05-01,-2.13297647895646
2014-06-01,0.659786621360348
2014-07-01,2.1242548342156
2014-08-01,6.3335808293337
2014-09-01,4.4687476615629
2014-10-01,1.68984183353147
2014-11-01,5.79647356403583
2014-12-01,20.1048025476685
2015-01-01,9.81678229435386
2015-02-01,-2.64115060676766
2015-03-01,8.81748930312836
2015-04-01,19.7374180561611
2015-05-01,7.07201897793666
2015-06-01,7.09470925957934
2015-07-01,-19.5514026584785
2015-08-01,-6.60643321157233
2015-09-01,-12.8853035475347
2015-10-01,4.65425943900781
2015-11-01,8.68432826574068
2015-12-01,-0.425363192998304
2016-01-01,-15.1212167700119
2016-02-01,-7.1798192527906
2016-03-01,4.11187448500897
2016-04-01,3.32361163207344
2016-05-01,-4.72018617874383
2016-06-01,1.33759209674833
2016-07-01,3.96842573223558
2016-08-01,1.09841846700719
2016-09-01,-0.544619200982567
2016-10-01,1.09530198687288
2016-11-01,4.20265209260312
2016-12-01,-1.24155261358498
2017-01-01,-0.566790278724421
2017-02-01,2.17581264734919
2017-03-01,1.07472015419979
2017-04-01,-0.817696736001742
2017-05-01,-3.59813937512697
2017-06-01,1.52468680390559
2017-07-01,2.42877682839332
2017-08-01,2.02679237846369
2017-09-01,2.30303222030655
2017-10-01,0.448054890515119
2017-11-01,0.294292379567898
2017-12-01,-2.79099761969061
2018-01-01,4.76222428005405
2018-02-01,-5.1716837641838
2018-03-01,-0.742592110394349
2018-04-01,-3.84385640045397
2018-05-01,0.685065075418325
2018-06-01,-5.2207973198563
2018-07-01,-5.33838721594978
2018-08-01,-2.58413595745428
2018-09-01,-0.777211216672686
2018-10-01,-2.82925040340325
2018-11-01,-0.704092461953493
2018-12-01,-2.32204838015719
2019-01-01,-0.555507347942696
2019-02-01,7.18144705780616
2019-03-01,11.2839419996948
2019-04-01,4.89413081568628
2019-05-01,-8.60713673615168
2019-06-01,-0.116794725655596
2019-07-01,0.994823914419858
2019-08-01,-3.41880254898069
2019-09-01,4.70087781658578
2019-10-01,-1.23653888539069
2019-11-01,-0.688441499286187
2019-12-01,1.30964339570821
2020-01-01,2.99483738366222
2020-02-01,-4.0402874943498
2020-03-01,-2.57723876887993
2020-04-01,-1.41059246917319
2020-05-01,1.92938200810645
2020-06-01,2.72783351778944
2020-07-01,11.702780930799
2020-08-01,2.59630561291305
2020-09-01,-2.52950686307778
2020-10-01,-0.302475261974949
2020-11-01,2.03024414166144
2020-12-01,1.62107986702083
2021-01-01,4.77283563729825
2021-02-01,0.968309216610305
2021-03-01,-4.26793138722297
2021-04-01,0.346531403918351
