DATE,SPASTT01DEM657N
2000-02-01,10.2539433941157
2000-03-01,5.08746296521776
2000-04-01,-7.27623829294198
2000-05-01,-2.27419455609472
2000-06-01,-0.076718167288216
2000-07-01,-1.16445221693787
2000-08-01,-0.41645987527783
2000-09-01,-1.99783315276273
2000-10-01,-5.30865835323251
2000-11-01,-0.936325215401497
2000-12-01,-6.0293216423891
2001-01-01,0.476572689876584
2001-02-01,-0.968595536472115
2001-03-01,-7.72372069573985
2001-04-01,-0.122930667103745
2001-05-01,3.0004649763409
2001-06-01,-2.23591268787506
2001-07-01,-3.63972186006086
2001-08-01,-5.54177472093809
2001-09-01,-17.2157564905998
2001-10-01,4.04095021808874
2001-11-01,7.17206014829186
2001-12-01,1.87184792447951
2002-01-01,2.19923201421726
2002-02-01,-3.57409017513354
2002-03-01,6.46958425916982
2002-04-01,-1.71798439295868
2002-05-01,-4.45005231735089
2002-06-01,-9.25985570729193
2002-07-01,-9.18610016682641
2002-08-01,-7.50439710768027
2002-09-01,-11.6712444538348
2002-10-01,-7.61134765344687
2002-11-01,8.04163214581607
2002-12-01,-4.04984423676013
2003-01-01,-4.98001998001997
2003-02-01,-9.8302055406613
2003-03-01,-4.47152101673175
2003-04-01,11.3328451116807
2003-05-01,3.46982404209835
2003-06-01,7.68700995973724
2003-07-01,4.59487381315491
2003-08-01,3.59813743473966
2003-09-01,2.18832289112869
2003-10-01,0.0399857828327526
2003-11-01,5.99102900031088
2003-12-01,3.66211346685662
2004-01-01,4.96766370250606
2004-02-01,0.234895452270032
2004-03-01,-3.10795236265848
2004-04-01,2.557392648983
2004-05-01,-4.77074151395655
2004-06-01,2.51705099058137
2004-07-01,-2.42753049263427
2004-08-01,-3.30776411380331
2004-09-01,3.7441235728677
2004-10-01,1.42417866968765
2004-11-01,3.40673368437851
2004-12-01,2.64254301365634
2005-01-01,1.03732100575036
2005-02-01,2.33604880407694
2005-03-01,0.385300425284438
2005-04-01,-1.63305210558714
2005-05-01,-0.62946329971289
2005-06-01,5.32320800148176
2005-07-01,3.78095104108047
2005-08-01,3.38224828006913
2005-09-01,1.52106212096377
2005-10-01,-0.158222738867901
2005-11-01,2.55821474773609
2005-12-01,4.61038756267543
2006-01-01,3.37925421276339
2006-02-01,5.3274625298886
2006-03-01,2.13726087317627
2006-04-01,2.30124955953705
2006-05-01,-3.54512214509036
2006-06-01,-7.04592901878914
2006-07-01,1.58988149768018
2006-08-01,2.83910754283388
2006-09-01,2.63061126354198
2006-10-01,4.46214480610755
2006-11-01,3.18716690412117
2006-12-01,2.27563283047813
2007-01-01,3.4
2007-02-01,3.63394584139263
2007-03-01,-2.60131115414225
2007-04-01,7.37999425122161
2007-05-01,3.0828258493386
2007-06-01,2.84997078617644
2007-07-01,0.44394883016329
2007-08-01,-5.894551624458
2007-09-01,2.19254312743463
2007-10-01,4.33892398170331
2007-11-01,-3.51342323911317
2007-12-01,2.31290162054565
2008-01-01,-8.13948570461851
2008-02-01,-5.46743709569741
2008-03-01,-5.66432885252288
2008-04-01,3.97800609220922
2008-05-01,3.00901214032126
2008-06-01,-5.1143621508279
2008-07-01,-6.62958165053723
2008-08-01,1.04464212845834
2008-09-01,-4.9242118299545
2008-10-01,-20.8500877838818
2008-11-01,-6.62230331651819
2008-12-01,-2.70881226053639
2009-01-01,-1.05147087780098
2009-02-01,-6.46740428241663
2009-03-01,-7.14437683502829
2009-04-01,13.9308954266337
2009-05-01,5.42192904834688
2009-06-01,0.541777947348307
2009-07-01,0.440194292653347
2009-08-01,9.19601027656033
2009-09-01,4.13120199294169
2009-10-01,1.98365231259968
2009-11-01,-0.87967940572767
2009-12-01,3.5992505670052
2010-01-01,0.637730820483533
2010-02-01,-4.83306535514991
2010-03-01,6.62558802093687
2010-04-01,4.24097433666811
2010-05-01,-6.15778963369199
2010-06-01,1.37525805939335
2010-07-01,-0.169183532802803
2010-08-01,0.966608084358531
2010-09-01,1.80280989680467
2010-10-01,3.82877381533954
2010-11-01,4.70505204963828
2010-12-01,4.27175195191822
2011-01-01,0.899614835564416
2011-02-01,3.01380101972718
2011-03-01,-4.38455558434826
2011-04-01,3.58827036695756
2011-05-01,-0.32442049081682
2011-06-01,-2.75867499606278
2011-07-01,1.72753529300617
2011-08-01,-18.4652532703585
2011-09-01,-8.14566519135642
2011-10-01,7.44375553587245
2011-11-01,-0.603442590516396
2011-12-01,0.461135255283151
2012-01-01,6.90178984215048
2012-02-01,7.73816878784131
2012-03-01,2.36832296355765
2012-04-01,-3.13979217432708
2012-05-01,-5.62720490428546
2012-06-01,-4.7309719328349
2012-07-01,5.58342982117585
2012-08-01,5.57755574509565
2012-09-01,4.1691912634525
2012-10-01,0.567804121426982
2012-11-01,-0.388333471040243
2012-12-01,4.67540367175404
2013-01-01,2.3349797934441
2013-02-01,-0.438788942518641
2013-03-01,2.80247841754595
2013-04-01,-2.40328844504969
2013-05-01,5.20141598408309
2013-06-01,-3.02107383209706
2013-07-01,1.02573194205248
2013-08-01,2.4818872370829
2013-09-01,1.94965630274713
2013-10-01,3.52241097994049
2013-11-01,4.21379566104209
2013-12-01,1.02975846270185
2014-01-01,2.59768849752338
2014-02-01,-0.111576011157607
2014-03-01,-1.66262109853284
2014-04-01,1.00045872561655
2014-05-01,0.746155676190049
2014-06-01,1.74101584302951
2014-07-01,-1.96442512607347
2014-08-01,-4.87279927682837
2014-09-01,3.4933707407575
2014-10-01,-6.55415154562547
2014-11-01,5.89556428972487
2014-12-01,3.49505125486038
2015-01-01,3.31938692737906
2015-02-01,8.19404557757072
2015-03-01,6.89747359978613
2015-04-01,1.35586559245431
2015-05-01,-3.86160950333108
2015-06-01,-3.71239481548025
2015-07-01,0.635923993755
2015-08-01,-3.51710307249887
2015-09-01,-7.24748514618507
2015-10-01,2.44180884125071
2015-11-01,6.72775301304276
2015-12-01,-2.21401500502746
2016-01-01,-7.32435585612306
2016-02-01,-5.72471035056651
2016-03-01,5.87995654535579
2016-04-01,1.48133897652945
2016-05-01,-1.32069510268564
2016-06-01,-1.91897199453551
2016-07-01,0.935820148425428
2016-08-01,5.45074279307445
2016-09-01,-0.0163575766250248
2016-10-01,0.940714534039555
2016-11-01,-1.01298648676028
2016-12-01,5.37055608997322
2017-01-01,3.66722995940407
2017-02-01,1.07923778831199
2017-03-01,2.33933304910375
2017-04-01,1.55952833777102
2017-05-01,2.50044587123239
2017-06-01,0.0713390868596873
2017-07-01,-2.22906125571611
2017-08-01,-1.39247034553893
2017-09-01,2.79000144279326
2017-10-01,4.18282305465389
2017-11-01,1.24623183280287
2017-12-01,-0.144712985911281
2018-01-01,1.93230277185498
2018-02-01,-5.76709373774349
2018-03-01,-1.97873853250783
2018-04-01,1.3251477300874
2018-05-01,2.63833353704318
2018-06-01,-2.26429859480795
2018-07-01,-0.736279612191249
2018-08-01,-0.27530335975311
2018-09-01,-2.10124668108527
2018-10-01,-5.05783461455562
2018-11-01,-2.5274309496784
2018-12-01,-5.57992391895039
2019-01-01,1.9095973195749
2019-02-01,2.66650530477229
2019-03-01,2.12180746561886
2019-04-01,4.17275875336669
2019-05-01,-1.72487026537889
2019-06-01,-1.34172695668513
2019-07-01,1.95996266737777
2019-08-01,-5.05697739585279
2019-09-01,4.63176121047558
2019-10-01,1.71690768565357
2019-11-01,5.24496210020338
2019-12-01,0.658738384246472
2020-01-01,1.39436668877178
2020-02-01,-0.750417376637244
2020-03-01,-24.5400156073875
2020-04-01,3.68387185733327
2020-05-01,5.91794667198616
2020-06-01,10.1261849456965
2020-07-01,2.87310454908223
2020-08-01,1.08611326609774
2020-09-01,0.409311844461502
2020-10-01,-2.04003639672431
2020-11-01,1.6645302717866
2020-12-01,4.8698035632709
2021-01-01,3.45007841087297
2021-02-01,1.49907360619844
2021-03-01,2.46100232326583
2021-04-01,4.26607064768476
