DATE,SPASTT01GBM657N
2000-01-01,-3.36884023679206
2000-02-01,-4.84981766213285
2000-03-01,5.87422230566543
2000-04-01,-3.6060757078695
2000-05-01,-1.42635796605224
2000-06-01,3.85222415105145
2000-07-01,-0.336944448317351
2000-08-01,0.782333227633624
2000-09-01,-0.324200103336852
2000-10-01,-2.61534390797556
2000-11-01,1.06790856122322
2000-12-01,-2.0682867932122
2001-01-01,-0.554158920963322
2001-02-01,-1.23217439311416
2001-03-01,-6.61936679627552
2001-04-01,0.951445809070271
2001-05-01,1.90385538951794
2001-06-01,-2.11855899877159
2001-07-01,-5.05209401605408
2001-08-01,-0.30847190159654
2001-09-01,-10.253674553214
2001-10-01,3.53659260229293
2001-11-01,3.60254781098137
2001-12-01,-1.17142791741061
2002-01-01,0.213862043540609
2002-02-01,-1.2555879344914
2002-03-01,2.4680112350784
2002-04-01,-0.838135049578065
2002-05-01,-0.767665521279244
2002-06-01,-7.77066958646318
2002-07-01,-11.1067996190972
2002-08-01,0.561573727787758
2002-09-01,-7.16067284702327
2002-10-01,0.308589712159849
2002-11-01,3.35506888523831
2002-12-01,-3.74736718932835
2003-01-01,-3.92238802946034
2003-02-01,-3.94307089250269
2003-03-01,-0.164658292877688
2003-04-01,6.25139159572392
2003-05-01,3.13194474986611
2003-06-01,3.34387754334121
2003-07-01,-0.985268309023261
2003-08-01,2.51991860949722
2003-09-01,1.2690434229499
2003-10-01,1.30981166292009
2003-11-01,1.37492046251773
2003-12-01,1.09117997342173
2004-01-01,1.6868779680137
2004-02-01,-0.624685476565925
2004-03-01,0.0807990781252998
2004-04-01,1.49458813369884
2004-05-01,-1.31636964705517
2004-06-01,0.551444173013364
2004-07-01,-2.58199503385198
2004-08-01,0.569144266496144
2004-09-01,3.94801619137916
2004-10-01,1.85123466805826
2004-11-01,2.13081544916546
2004-12-01,0.141437349156331
2005-01-01,1.57971398862522
2005-02-01,3.58668106118847
2005-03-01,-0.811762352470496
2005-04-01,-1.42384065891958
2005-05-01,0.775601392849976
2005-06-01,2.52876223422723
2005-07-01,3.51959986456222
2005-08-01,1.51815976924432
2005-09-01,1.60436069570657
2005-10-01,-1.84754550714317
2005-11-01,3.12227820885595
2005-12-01,1.71192281690452
2006-01-01,2.79773688088001
2006-02-01,1.74839450144123
2006-03-01,2.27442984261367
2006-04-01,1.90442513639119
2006-05-01,-3.31466151126092
2006-06-01,-3.13178268077179
2006-07-01,2.92199257240144
2006-08-01,0.75595637051804
2006-09-01,0.311852964644761
2006-10-01,3.48145384237037
2006-11-01,1.08795237790857
2006-12-01,0.0903084593247065
2007-01-01,1.03218365482431
2007-02-01,2.01457742775419
2007-03-01,-2.4671954786419
2007-04-01,3.62746567274333
2007-05-01,2.18385835709911
2007-06-01,0.40631477068325
2007-07-01,-0.546835688606779
2007-08-01,-5.8335416069785
2007-09-01,2.68696523274462
2007-10-01,4.00559800287467
2007-11-01,-4.15439260040491
2007-12-01,1.7485834260852
2008-01-01,-5.99808568427465
2008-02-01,-2.30705654825859
2008-03-01,-4.24880670983548
2008-04-01,5.91162427416762
2008-05-01,3.17640934603139
2008-06-01,-6.56005718037366
2008-07-01,-6.97544420734927
2008-08-01,1.71863052792357
2008-09-01,-4.31451517030356
2008-10-01,-18.1516871221345
2008-11-01,-1.35682675354096
2008-12-01,0.995987168408726
2009-01-01,0.533283950848799
2009-02-01,-5.003765648426
2009-03-01,-7.70561856770827
2009-04-01,7.45725660398432
2009-05-01,8.52859942979331
2009-06-01,-0.821161849381453
2009-07-01,0.580791126725582
2009-08-01,8.87941479026176
2009-09-01,5.67276865290903
2009-10-01,2.54434625043711
2009-11-01,1.57134608752259
2009-12-01,1.43677941658974
2010-01-01,1.7697833609147
2010-02-01,-3.32224010525323
2010-03-01,7.43704032171746
2010-04-01,1.8130161429776
2010-05-01,-8.49145455212627
2010-06-01,-1.86233642736163
2010-07-01,0.368717214326869
2010-08-01,2.27997495342537
2010-09-01,4.52236542835484
2010-10-01,3.12932941645813
2010-11-01,0.829586595793692
2010-12-01,2.55024545066135
2011-01-01,1.48930634511163
2011-02-01,0.884525742396749
2011-03-01,-2.72464856102681
2011-04-01,2.64456855235952
2011-05-01,-1.1279483682092
2011-06-01,-2.55400833446893
2011-07-01,2.03084158296186
2011-08-01,-10.9079648922723
2011-09-01,-0.696463741911472
2011-10-01,3.44496509515157
2011-11-01,-0.11278292799272
2011-12-01,1.49060068264439
2012-01-01,3.75411495426817
2012-02-01,3.59384695432677
2012-03-01,-0.304411420349087
2012-04-01,-2.55318786806005
2012-05-01,-4.46310207688908
2012-06-01,-0.189950017002256
2012-07-01,3.24207294847303
2012-08-01,2.83155946895838
2012-09-01,0.161661263580325
2012-10-01,0.45422913680964
2012-11-01,-0.759455469228258
2012-12-01,2.38772393011168
2013-01-01,3.79161315690441
2013-02-01,2.69836546950682
2013-03-01,1.86975072628969
2013-04-01,-1.10561120220063
2013-05-01,4.38246761512482
2013-06-01,-5.16020342718806
2013-07-01,3.46729783488347
2013-08-01,0.0351342850786758
2013-09-01,0.494161168318469
2013-10-01,0.298823629959261
2013-11-01,1.86215942324491
2013-12-01,-1.64811362468481
2014-01-01,2.01033112140207
2014-02-01,-0.347212399592037
2014-03-01,-0.916475796462891
2014-04-01,0.269011368142957
2014-05-01,2.76470667851713
2014-06-01,-0.42526601076774
2014-07-01,-0.474552158852261
2014-08-01,-0.838892974326714
2014-09-01,0.931318603587976
2014-10-01,-5.44620264837151
2014-11-01,3.67473808713886
2014-12-01,-1.4396187907503
2015-01-01,0.983130410614992
2015-02-01,4.01763233704076
2015-03-01,0.0869371798916382
2015-04-01,1.62117565375025
2015-05-01,-0.169379598977717
2015-06-01,-2.87932740286387
2015-07-01,-2.01336543238632
2015-08-01,-3.01733216983121
2015-09-01,-5.56480325160369
2015-10-01,4.16388767507648
2015-11-01,-0.534789719294556
2015-12-01,-2.16524758597726
2016-01-01,-3.76721542086822
2016-02-01,-0.945622098085344
2016-03-01,4.61343071948097
2016-04-01,1.9307372393383
2016-05-01,-1.5736883140489
2016-06-01,0.0341800592562481
2016-07-01,7.782132042168
2016-08-01,2.5020019922264
2016-09-01,-0.126788227016896
2016-10-01,2.89781691432765
2016-11-01,-2.96482770424465
2016-12-01,2.46114770266915
2017-01-01,3.40665378430215
2017-02-01,0.446433526075727
2017-03-01,1.64507031360059
2017-04-01,-1.21651790263779
2017-05-01,2.04374140302612
2017-06-01,0.611842158472384
2017-07-01,-0.91265104227375
2017-08-01,0.175639040813443
2017-09-01,-1.0015063086799
2017-10-01,2.36603296139959
2017-11-01,-0.891694125607007
2017-12-01,0.686311268432775
2018-01-01,2.70958183735303
2018-02-01,-5.71010134744411
2018-03-01,-2.30612329276863
2018-04-01,2.66090339800551
2018-05-01,5.62607270113876
2018-06-01,-0.386126003530816
2018-07-01,-0.0766625788664398
2018-08-01,-0.610111540100335
2018-09-01,-2.8729495369774
2018-10-01,-3.36965925661156
2018-11-01,-1.34817984511765
2018-12-01,-3.69133665018656
2019-01-01,1.10427656464989
2019-02-01,4.2523181135945
2019-03-01,0.800859622907593
2019-04-01,3.21976637018776
2019-05-01,-2.10555191735931
2019-06-01,1.09025474076058
2019-07-01,2.58067321437309
2019-08-01,-4.64536827548205
2019-09-01,1.68645074355252
2019-10-01,-1.34823325295937
2019-11-01,1.75966521078039
2019-12-01,1.03560945139918
2020-01-01,1.7899017163607
2020-02-01,-3.22693759163301
2020-03-01,-21.4886271185282
2020-04-01,-0.0390115449791154
2020-05-01,3.78855853579924
2020-06-01,4.82667741014923
2020-07-01,-1.23738315961074
2020-08-01,-1.60246847921964
2020-09-01,-2.23316025462509
2020-10-01,-1.37400745995709
2020-11-01,6.34094905741957
2020-12-01,4.73890845042128
2021-01-01,2.60486911211665
2021-02-01,-1.54938254989399
2021-03-01,1.97491634477951
2021-04-01,2.86865894402249
