DATE,SPASTT01INM657N
2000-01-01,12.5622937896661
2000-02-01,4.53982872270949
2000-03-01,-7.12748599278669
2000-04-01,-6.51059183560693
2000-05-01,-12.9539117531959
2000-06-01,9.47645462442836
2000-07-01,-0.601018094708458
2000-08-01,-6.91240074882188
2000-09-01,2.15993305686928
2000-10-01,-13.2933589772599
2000-11-01,2.50782881002087
2000-12-01,3.6903337491408
2001-01-01,2.13745930577994
2001-02-01,3.60590559887696
2001-03-01,-11.4574270381636
2001-04-01,-8.89867148809056
2001-05-01,3.82604193631894
2001-06-01,-4.72917567013508
2001-07-01,-2.67925943803595
2001-08-01,-1.22622031928339
2001-09-01,-11.723228357175
2001-10-01,0.449237221925227
2001-11-01,8.15961028726987
2001-12-01,4.48624541881928
2002-01-01,1.22222155142747
2002-02-01,5.22647771902987
2002-03-01,1.24072924725878
2002-04-01,-3.84116897840357
2002-05-01,-3.80451394852595
2002-06-01,-1.43473629419811
2002-07-01,-1.29443081580459
2002-08-01,-5.07609950013531
2002-09-01,1.11545116132753
2002-10-01,-4.31665867285429
2002-11-01,3.45501469930771
2002-12-01,8.60983522833299
2003-01-01,0.305650003617159
2003-02-01,-1.51397678849401
2003-03-01,-3.97341697993459
2003-04-01,-3.63926966756274
2003-05-01,-0.0794715963238613
2003-06-01,11.7741211569179
2003-07-01,8.22494973264558
2003-08-01,8.44914417290054
2003-09-01,8.54254923072278
2003-10-01,9.5597880752954
2003-11-01,4.71778339066088
2003-12-01,9.77467759138951
2004-01-01,9.45490613918378
2004-02-01,-2.14714437028194
2004-03-01,-3.40418439947835
2004-04-01,3.47790667477756
2004-05-01,-10.5361498489924
2004-06-01,-7.31616403824281
2004-07-01,3.0890199964344
2004-08-01,3.44448980166382
2004-09-01,5.42576436191722
2004-10-01,5.00786425901715
2004-11-01,4.73075720913246
2004-12-01,7.20222256873012
2005-01-01,-1.55759536928571
2005-02-01,4.77913139632427
2005-03-01,1.11977922836065
2005-04-01,-4.2794163955075
2005-05-01,1.55322072026205
2005-06-01,6.95794627514015
2005-07-01,5.99620405785059
2005-08-01,5.14798325867954
2005-09-01,6.85431744745939
2005-10-01,-0.264365087822992
2005-11-01,3.09482265602518
2005-12-01,7.90865630929371
2006-01-01,4.14710228922318
2006-02-01,5.71996285901726
2006-03-01,7.60124585886744
2006-04-01,7.76766022209898
2006-05-01,-0.749031653041569
2006-06-01,-14.6177267304901
2006-07-01,6.49792545352017
2006-08-01,7.0874241627712
2006-09-01,6.45984478186492
2006-10-01,4.88090005641554
2006-11-01,6.27934095637061
2006-12-01,1.5284228509838
2007-01-01,2.77141497881187
2007-02-01,1.10734637631775
2007-03-01,-9.06838951088576
2007-04-01,4.49359977497811
2007-05-01,5.08306700237505
2007-06-01,1.43322558548971
2007-07-01,6.41196291412905
2007-08-01,-3.04666300846828
2007-09-01,8.50197008659997
2007-10-01,14.9778574375452
2007-11-01,4.39131525900343
2007-12-01,2.7900977904976
2008-01-01,-2.38042319757133
2008-02-01,-8.26937256961604
2008-03-01,-10.9208045786387
2008-04-01,3.07829187128561
2008-05-01,4.33575833381455
2008-06-01,-11.6945821277458
2008-07-01,-8.54221565510547
2008-08-01,7.33476813515134
2008-09-01,-4.95237474214165
2008-10-01,-24.0554472087374
2008-11-01,-11.2007881795649
2008-12-01,0.678308435884958
2009-01-01,-1.79239047145899
2009-02-01,-1.71096080244961
2009-03-01,-2.7396767345016
2009-04-01,22.0753536617359
2009-05-01,19.0966482252933
2009-06-01,13.9926942737881
2009-07-01,-0.996315230134074
2009-08-01,5.32606682933396
2009-09-01,6.21622130087766
2009-10-01,2.90608616199471
2009-11-01,-1.19849080254905
2009-12-01,2.80565106963759
2010-01-01,0.779954901918384
2010-02-01,-6.09742168189902
2010-03-01,6.64098075717864
2010-04-01,2.40047014683404
2010-05-01,-4.75670015306073
2010-06-01,2.70247967737894
2010-07-01,3.16813826789406
2010-08-01,1.84352943747223
2010-09-01,6.33140157320899
2010-10-01,4.77055998874156
2010-11-01,-0.668008247015392
2010-12-01,-0.942703962518531
2011-01-01,-3.2698849577864
2011-02-01,-6.41673939234197
2011-03-01,2.32737619354404
2011-04-01,5.43876378925467
2011-05-01,-5.83113225968901
2011-06-01,-0.526699207932148
2011-07-01,2.12563216820735
2011-08-01,-9.34729091162044
2011-09-01,-1.0803921243307
2011-10-01,0.611059695278813
2011-11-01,-0.350977258817
2011-12-01,-4.41309409506237
2012-01-01,2.59407352864883
2012-02-01,8.80073598401305
2012-03-01,-2.60030574703633
2012-04-01,-0.498403430239048
2012-05-01,-5.02985811976182
2012-06-01,1.83009112734343
2012-07-01,2.82634906561097
2012-08-01,2.23489688376479
2012-09-01,3.22708615376572
2012-10-01,3.09591898085186
2012-11-01,-0.253726050631982
2012-12-01,3.65430752979134
2013-01-01,2.65863427262689
2013-02-01,-2.06755842241248
2013-03-01,-1.81085537047626
2013-04-01,-1.41199407470044
2013-05-01,5.83570665056033
2013-06-01,-4.07031761275166
2013-07-01,3.03419520536308
2013-08-01,-5.21854456508998
2013-09-01,4.97330196481479
2013-10-01,4.29709610601003
2013-11-01,0.840027986265026
2013-12-01,1.70470358356728
2014-01-01,-0.156700732112317
2014-02-01,-1.9041780186808
2014-03-01,6.19962793178945
2014-04-01,3.48455036159996
2014-05-01,4.90265552572393
2014-06-01,6.50726413975116
2014-07-01,2.01488020086566
2014-08-01,1.37026862145475
2014-09-01,3.15389527801182
2014-10-01,-1.06426780307479
2014-11-01,5.6063073633983
2014-12-01,-1.7075230956636
2015-01-01,2.28783155700854
2015-02-01,2.37946749310992
2015-03-01,-1.23973881177185
2015-04-01,-1.44950911003059
2015-05-01,-2.70415823081622
2015-06-01,-0.981035693761574
2015-07-01,3.23429833133612
2015-08-01,-2.2442496323477
2015-09-01,-6.07061196500802
2015-10-01,4.91395104475105
2015-11-01,-3.67958222035475
2015-12-01,-1.26676599219937
2016-01-01,-3.5080220821062
2016-02-01,-4.35021719590755
2016-03-01,4.90605066636271
2016-04-01,2.52108009268239
2016-05-01,0.850690192236441
2016-06-01,3.98556999792556
2016-07-01,3.62923796295568
2016-08-01,1.17685385905059
2016-09-01,1.72739870675346
2016-10-01,-1.70968153974857
2016-11-01,-4.59569488084754
2016-12-01,-1.30873947428886
2017-01-01,3.09859389912308
2017-02-01,4.74091324348698
2017-03-01,2.72567538812564
2017-04-01,1.50194339990901
2017-05-01,2.36882986028207
2017-06-01,2.45451629616836
2017-07-01,2.36071483843956
2017-08-01,-0.404929671347931
2017-09-01,0.430229174199359
2017-10-01,1.4411461430195
2017-11-01,3.24138566392945
2017-12-01,0.161161174949404
2018-01-01,4.74328648783102
2018-02-01,-2.13448972100901
2018-03-01,-2.81074472456748
2018-04-01,2.46582264958226
2018-05-01,2.74526675116734
2018-06-01,0.918021142391477
2018-07-01,2.82795096983093
2018-08-01,4.5480489958079
2018-09-01,-1.74046874901478
2018-10-01,-7.43923079596896
2018-11-01,1.91885884142248
2018-12-01,1.60992763672736
2019-01-01,0.567033717418153
2019-02-01,0.236707070146719
2019-03-01,4.03338946946651
2019-04-01,3.47481669563257
2019-05-01,-0.791366481133662
2019-06-01,2.51631904778068
2019-07-01,-2.31428135985702
2019-08-01,-3.81265496454462
2019-09-01,0.913321845752605
2019-10-01,3.11920912508611
2019-11-01,4.7018672330024
2019-12-01,1.40192257318774
2020-01-01,0.701215934384034
2020-02-01,-1.48666798030507
2020-03-01,-20.4631860020787
2020-04-01,-5.31354651659724
2020-05-01,2.26144810238125
2020-06-01,9.18685890776428
2020-07-01,8.07801329018461
2020-08-01,3.55367879140083
2020-09-01,0.084466441474995
2020-10-01,4.35639508918684
2020-11-01,7.50392250664903
2020-12-01,7.40574378064446
2021-01-01,5.02606230518144
2021-02-01,4.55755441972029
2021-03-01,-1.33588485239693
2021-04-01,-2.48004068303754
